Day,Country,toilet_paper,coronavirus
1/17/20,Italy,<1,<1
1/18/20,Italy,<1,<1
1/19/20,Italy,<1,<1
1/20/20,Italy,<1,<1
1/21/20,Italy,0,<1
1/22/20,Italy,<1,1
1/23/20,Italy,<1,2
1/24/20,Italy,<1,2
1/25/20,Italy,0,3
1/26/20,Italy,0,4
1/27/20,Italy,0,4
1/28/20,Italy,<1,8
1/29/20,Italy,0,7
1/30/20,Italy,<1,15
1/31/20,Italy,0,22
2/1/20,Italy,<1,12
2/2/20,Italy,<1,8
2/3/20,Italy,<1,6
2/4/20,Italy,<1,5
2/5/20,Italy,0,4
2/6/20,Italy,0,4
2/7/20,Italy,<1,5
2/8/20,Italy,<1,4
2/9/20,Italy,0,4
2/10/20,Italy,<1,5
2/11/20,Italy,<1,5
2/12/20,Italy,<1,4
2/13/20,Italy,0,4
2/14/20,Italy,0,4
2/15/20,Italy,0,3
2/16/20,Italy,0,3
2/17/20,Italy,<1,3
2/18/20,Italy,0,3
2/19/20,Italy,<1,3
2/20/20,Italy,<1,2
2/21/20,Italy,<1,35
2/22/20,Italy,0,74
2/23/20,Italy,0,100
2/24/20,Italy,<1,90
2/25/20,Italy,0,74
2/26/20,Italy,0,57
2/27/20,Italy,<1,47
2/28/20,Italy,0,41
2/29/20,Italy,<1,43
3/1/20,Italy,<1,40
3/2/20,Italy,<1,40
3/3/20,Italy,<1,42
3/4/20,Italy,<1,61
3/5/20,Italy,<1,54
3/6/20,Italy,<1,56
3/7/20,Italy,<1,70
3/8/20,Italy,<1,77
3/9/20,Italy,<1,81
3/10/20,Italy,0,79
3/11/20,Italy,<1,81
3/12/20,Italy,<1,74
3/13/20,Italy,<1,66
3/14/20,Italy,<1,64
3/15/20,Italy,<1,67
3/16/20,Italy,<1,58
3/17/20,Italy,<1,57
3/18/20,Italy,<1,56
3/19/20,Italy,<1,57
3/20/20,Italy,<1,57
3/21/20,Italy,<1,61
3/22/20,Italy,<1,59
3/23/20,Italy,<1,49
3/24/20,Italy,0,46
3/25/20,Italy,<1,44
3/26/20,Italy,<1,43
3/27/20,Italy,<1,45
3/28/20,Italy,<1,43
3/29/20,Italy,<1,42
3/30/20,Italy,<1,37
3/31/20,Italy,<1,33
4/1/20,Italy,<1,31
4/2/20,Italy,<1,31
4/3/20,Italy,<1,36
4/4/20,Italy,<1,46
4/5/20,Italy,<1,44
4/6/20,Italy,<1,30
4/7/20,Italy,<1,30
4/8/20,Italy,<1,29
4/9/20,Italy,0,29
4/10/20,Italy,<1,28
4/11/20,Italy,<1,27
4/12/20,Italy,<1,30
4/13/20,Italy,0,31
4/14/20,Italy,<1,28
4/15/20,Italy,<1,26
1/17/20,United States,<1,<1
1/18/20,United States,<1,<1
1/19/20,United States,<1,<1
1/20/20,United States,<1,<1
1/21/20,United States,<1,3
1/22/20,United States,<1,3
1/23/20,United States,<1,4
1/24/20,United States,<1,8
1/25/20,United States,<1,9
1/26/20,United States,<1,10
1/27/20,United States,<1,11
1/28/20,United States,<1,12
1/29/20,United States,<1,11
1/30/20,United States,<1,12
1/31/20,United States,<1,11
2/1/20,United States,<1,9
2/2/20,United States,<1,8
2/3/20,United States,<1,7
2/4/20,United States,<1,6
2/5/20,United States,<1,6
2/6/20,United States,<1,6
2/7/20,United States,<1,6
2/8/20,United States,<1,6
2/9/20,United States,<1,5
2/10/20,United States,<1,5
2/11/20,United States,<1,5
2/12/20,United States,<1,4
2/13/20,United States,<1,5
2/14/20,United States,<1,4
2/15/20,United States,<1,4
2/16/20,United States,<1,4
2/17/20,United States,<1,4
2/18/20,United States,<1,4
2/19/20,United States,<1,3
2/20/20,United States,<1,3
2/21/20,United States,<1,3
2/22/20,United States,<1,4
2/23/20,United States,<1,5
2/24/20,United States,<1,7
2/25/20,United States,<1,11
2/26/20,United States,<1,16
2/27/20,United States,<1,19
2/28/20,United States,<1,18
2/29/20,United States,<1,20
3/1/20,United States,<1,17
3/2/20,United States,<1,26
3/3/20,United States,<1,25
3/4/20,United States,<1,24
3/5/20,United States,<1,29
3/6/20,United States,<1,30
3/7/20,United States,<1,31
3/8/20,United States,1,30
3/9/20,United States,1,38
